    x1         y1        x2       y2        x3       y3        x4       y4        x5       y5        x6       y6        x7       y7        x8       y8        x9       y9        x10       y10        x11       y11        x12       y12
  -44.3251    1.9482  -28.6253    3.8152  -19.5929    2.7593  -15.9515    2.7576  -13.9944    2.7551   -2.9597    2.7324    8.4167    2.7943   22.3309    2.7413   27.2630    4.7709   31.8396    5.1794   36.4681    5.8351   44.3251    1.9482
  -44.5054    2.4102  -29.0124    4.0554  -20.1679    2.7863  -16.5782    2.7758  -14.5709    2.7387   -3.6712    2.7421    7.7886    2.7457   21.8019    2.7550   26.7293    4.6805   31.3662    5.3703   36.0028    6.0037   44.5054    2.4102
  -44.7232    2.8557  -29.4213    4.3026  -20.9485    2.7504  -17.1762    2.7467  -15.2860    2.7482   -4.2460    2.7485    7.1017    2.7080   21.1694    2.7754   26.2379    4.5571   30.9171    5.5166   35.6507    6.1184   44.7232    2.8557
  -44.9770    3.2817  -29.8860    4.5740  -21.5080    2.7368  -17.8117    2.7030  -15.9333    2.7523   -4.8276    2.7923    6.4740    2.7661   20.5538    2.7782   25.6995    4.3571   30.5171    5.5782   35.1173    6.2310   44.9770    3.2817
  -45.2652    3.6853  -30.2783    4.7441  -22.0914    2.7584  -18.4286    2.6737  -16.5851    2.7593   -5.3720    2.7725    5.8348    2.7795   20.0326    2.7562   25.2063    4.0563   29.9076    5.6625   34.7026    6.2404   45.2652    3.6853
  -45.5857    4.0637  -30.8228    4.9597  -22.6791    2.7901  -19.0122    2.6777  -17.3132    2.7576   -5.9028    2.7309    5.2862    2.7442   19.4376    2.7307   24.6685    3.7474   29.4150    5.6971   34.1896    6.2726   45.5857    4.0637
  -45.9363    4.4143  -31.2684    5.0754  -23.3337    2.9483  -19.5200    2.7120  -17.8722    2.7571   -6.5367    2.7143    4.7391    2.7223   18.8835    2.7093   24.2539    3.4567   28.8718    5.7067   33.7455    6.2800   45.9363    4.4143
  -46.3147    4.7348  -31.7199    5.1738  -23.8717    3.1591  -20.2131    2.7387  -18.4991    2.7678   -7.3000    2.7819    4.1251    2.7312   18.2954    2.7412   23.7706    3.1785   28.3553    5.6513   33.1119    6.2486   46.3147    4.7348
  -46.7183    5.0230  -32.1667    5.2334  -24.3384    3.3761  -20.8369    2.7428  -19.0401    2.7209   -7.8707    2.7620    3.5049    2.7274   17.6288    2.7414   23.3375    2.9267   27.9152    5.5478   32.6191    6.1878   46.7183    5.0230
  -47.1443    5.2768  -32.5811    5.2640  -24.8872    3.6437  -21.3997    2.7317  -19.6411    2.7485   -8.5400    2.7605    2.9455    2.7210   17.0896    2.7369   22.7961    2.7549   27.5174    5.4338   32.2151    6.1133   47.1443    5.2768
  -47.5898    5.4946  -33.0304    5.2954  -25.3536    3.8746  -22.0379    2.7294  -20.1923    2.7561   -9.2864    2.7554    2.3358    2.7747   16.5001    2.7347   22.2273    2.7458   27.1488    5.3303   31.6779    5.9235   47.5898    5.4946
  -48.0518    5.6749  -33.4509    5.2664  -25.8514    4.1241  -22.6817    2.7880  -20.7548    2.7085   -9.8472    2.7620    1.7747    2.7652   15.9309    2.7307   21.7570    2.7442   26.7261    5.1737   31.2504    5.6999   48.0518    5.6749
  -48.5271    5.8164  -33.7904    5.2092  -26.3388    4.2809  -23.3789    2.9484  -21.2847    2.7478  -10.4703    2.7804    1.2503    2.7703   15.3767    2.7545   21.1993    2.7441   26.2866    4.9790   30.7767    5.4489   48.5271    5.8164
  -49.0124    5.9182  -34.3261    5.0895  -26.8385    4.3611  -23.9141    3.1104  -21.8997    2.7516  -11.1483    2.7480    0.7341    2.7734   14.7476    2.7564   20.7205    2.7262   25.8985    4.7798   30.3572    5.1864   49.0124    5.9182
  -49.5045    5.9795  -34.7445    4.9893  -27.4302    4.4028  -24.4069    3.3110  -22.5668    2.7801  -11.7259    2.7414    0.2223    2.7987   14.2290    2.7323   20.1868    2.7283   25.4935    4.5477   29.9725    4.9346   49.5045    5.9795
  -50.0000    6.0000  -35.2082    4.8329  -28.0089    4.3799  -24.8704    3.4466  -23.1309    2.8154  -12.3041    2.7223   -0.4142    2.7626   13.6655    2.7088   19.6724    2.7304   25.0481    4.3538   29.5822    4.6245   50.0000    6.0000
  -50.4955    5.9795  -35.5979    4.6223  -28.6229    4.2649  -25.4091    3.5617  -23.7158    2.8137  -12.9142    2.7828   -1.0129    2.7429   13.1457    2.7003   19.1585    2.7678   24.6106    4.1008   29.1858    4.2505   50.4955    5.9795
  -50.9876    5.9182  -36.0510    4.3004  -29.1679    4.0206  -25.9133    3.5939  -24.2277    2.7209  -13.4460    2.7937   -1.6845    2.7717   12.6143    2.7187   18.7531    2.7557   24.2316    3.8004   28.8886    3.9586   50.9876    5.9182
  -51.4729    5.8164  -36.3989    4.0349  -29.5603    3.8279  -26.3624    3.5333  -24.7397    2.5410  -13.9900    2.7968   -2.2751    2.7616   12.0218    2.7656   18.3476    2.7016   23.8777    3.4219   28.5906    3.5408   51.4729    5.8164
  -51.9482    5.6749  -36.8076    3.6808  -29.9262    3.5973  -26.8482    3.3675  -25.2110    2.3264  -14.5126    2.8054   -2.8744    2.6948   11.4743    2.7273   17.9445    2.5406   23.5897    2.9834   28.3757    3.2235   51.9482    5.6749
  -52.4102    5.4946  -37.1621    3.2633  -30.3756    3.2687  -27.2773    3.1808  -25.6482    2.0356  -15.0178    2.7550   -3.4040    2.5450   10.9680    2.5586   17.4995    2.1965   23.3585    2.5737   28.1342    2.7823   52.4102    5.4946
  -52.8557    5.2768  -37.4638    2.8636  -30.7496    2.8806  -27.6697    2.9202  -26.0055    1.6221  -15.5733    2.6179   -3.8542    2.2792   10.5691    2.3139   17.1791    1.7973   23.1806    2.1570   27.9973    2.3620   52.8557    5.2768
  -53.2817    5.0230  -37.6616    2.4872  -31.1384    2.5206  -28.1123    2.5211  -26.2870    1.1229  -16.0756    2.3434   -4.2444    1.8706   10.1472    1.9847   16.9235    1.4232   23.0374    1.6413   27.8482    1.8662   53.2817    5.0230
  -53.6853    4.7348  -37.8504    2.0225  -31.4782    2.0310  -28.4653    2.0270  -26.5231    0.6223  -16.4777    2.0643   -4.5160    1.3840    9.8665    1.6057   16.7321    0.9621   22.9616    1.1618   27.7777    1.4619   53.6853    4.7348
