Re		Cd    
0.2020000	29.70000
0.3010000	20.26400
0.3330000	18.59100
0.3680000	17.07600
0.4070000	15.70900
0.4490000	14.47600
0.4970000	13.36400
0.5490000	12.36200
0.6070000	11.45500
0.6700000	10.63300
0.7410000	9.885000
0.8190000	9.203000
0.9050000	8.579000
1.000000	8.007000
1.105000	7.482000
1.221000	6.999000
1.350000	6.556000
1.492000	6.148000
1.649000	5.774000
1.822000	5.431000
2.014000	5.116000
2.226000	4.827000
2.460000	4.562000
2.718000	4.319000
3.004000	4.096000
3.320000	3.891000
3.669000	3.702000
4.055000	3.529000
4.482000	3.369000
4.953000	3.223000
5.474000	3.088000
6.050000	2.965000
6.686000	2.852000
7.389000	2.749000
8.166000	2.656000
9.025000	2.573000
9.974000	2.499000
11.02300	2.434000
12.18200	2.377000
13.46400	2.329000
14.88000	2.288000
16.44500	2.255000
18.17400	2.227000
20.08600	2.206000
22.19800	2.188000
24.53300	2.174000
27.11300	2.163000
29.96400	2.152000
33.11500	2.141000
36.59800	2.128000
40.44700	2.113000
44.70100	2.094000
49.40200	2.070000
54.59800	2.042000
60.34000	2.009000
66.68600	1.970000
73.70000	1.927000
81.45100	1.880000
90.01700	1.830000
99.48400	1.778000
109.9470	1.725000
121.5100	1.671000
134.2900	1.617000
148.4130	1.564000
164.0220	1.512000
181.2720	1.462000
200.3370	1.414000
221.4060	1.367000
244.6920	1.322000
270.4260	1.278000
298.8670	1.236000
330.3000	1.195000
365.0370	1.155000
403.4290	1.116000
445.8580	1.078000
492.7490	1.042000
544.5720	1.007000
601.8450	0.9730000
665.1420	0.9410000
735.0950	0.9100000
812.4060	0.8820000
897.8470	0.8610000
992.2750	0.8520000
1096.633	0.8680000
