    x          z
   15.6345   -6.2037
   15.3401   -6.3189
   15.4627   -6.4065
   15.0516   -6.3308
   14.9133   -6.3795
   14.4436   -6.7012
   14.3591   -7.1638
   14.2594   -7.1690
   14.0363   -6.4939
   14.0093   -6.4988
   13.6593   -6.7782
   13.1164   -7.3463
   27.9052   12.4308
   27.7254   12.5181
   28.0075   12.2666
   28.2412   11.9799
   27.9481   11.6227
   28.1656   11.2419
   28.3315   11.2421
   27.8469   11.1611
   27.9947   11.3303
   27.4123   11.0493
   27.5326   11.6305
   27.2538   11.7906
   26.9287   11.5304
   26.8865   11.7807
   26.6343   11.7057
   26.5731   11.6744
   26.3290   11.5416
   26.0927   11.7631
   25.9543   11.7451
   25.8514   11.7572
   25.5198   11.7169
   25.1129   12.1368
   25.1432   12.2117
   24.8581   12.2409
   24.6167   12.1755
   24.5415   13.1253
   24.4754   13.0201
   24.3328   13.0569
   24.4771   13.5715
   23.8277   13.5293
  -27.0378   -1.4553
  -27.3940   -1.1743
  -27.2446   -1.0785
  -27.7363   -1.2210
  -27.9923   -1.2798
  -28.2029   -1.3009
  -28.2286   -1.6606
  -28.6569   -1.1194
  -28.7079   -0.7686
  -28.5446   -0.6581
  -28.4476   -0.4998
  -28.5749   -0.2150
  -28.7521    0.1553
  -28.8961    0.2263
  -29.0342    0.4351
  -29.1887    0.4672
  -29.3148    0.7406
  -29.1482    1.0925
  -29.0273    1.1877
  -29.2275    1.0787
  -29.0592    1.0695
  -28.4762    1.0165
  -28.6984    1.1533
  -28.5701    1.0769
  -28.2615    1.3047
  -28.4159    1.4628
  -28.5664    1.7485
  -28.4961    1.7656
  -28.4644    1.9706
  -28.0590    2.6001
  -20.4321   -1.7974
  -20.4505   -2.0211
  -20.5455   -1.7751
  -20.6366   -1.4958
  -20.8622   -1.4446
  -20.5300   -1.3766
  -20.8805   -1.2184
  -20.6910   -1.2534
  -20.8227   -1.0124
  -20.4806   -1.0032
  -20.0312   -0.6694
  -20.1762   -0.7256
  -19.8284   -0.3640
  -19.7021    0.2756
  -19.8354    0.0576
  -19.9850    0.3896
  -19.4456   -0.0610
  -19.3762   -0.3244
  -19.5647   -0.3302
  -19.2041   -0.3519
  -19.2710   -0.3725
  -18.8422   -1.1001
  -18.5089   -1.3031
  -18.6844   -1.5552
  -18.2599   -1.8222
  -18.4145   -1.7953
  -17.9348   -2.2409
  -18.0344   -2.3843
  -18.2243   -2.1740
  -17.9224   -2.4099
  -14.3037    5.7331
  -14.4046    5.8480
  -14.2446    5.8371
  -13.8969    6.2235
  -13.6209    6.2231
  -13.5509    5.8090
  -13.5451    5.6576
  -13.3066    5.7227
  -13.2754    5.4225
  -13.3642    5.4977
  -13.3302    5.6353
  -13.4153    5.4893
  -13.7650    5.8480
  -13.9520    6.0257
  -13.7480    6.1496
  -14.0076    6.2483
  -14.4626    5.5223
  -14.2285    5.2865
  -14.6701    5.5312
  -14.6854    5.2841
  -14.9228    5.3112
  -15.3776    5.1573
  -15.3737    5.5236
  -15.5700    6.3111
  -15.8307    6.4920
  -15.7107    6.4489
  -15.5596    6.3289
  -15.4633    5.9087
  -15.7810    6.0229
  -15.6504    5.3839
   13.8629   -5.3971
   13.7046   -5.3380
   13.6092   -5.1777
   13.2311   -5.5591
   12.9952   -5.3898
   12.8324   -5.6062
   11.8777   -6.2492
   11.7010   -6.3425
   11.3558   -6.2903
   11.0818   -5.9666
   10.6726   -6.3493
   10.6710   -6.0418
   10.3691   -5.9645
   10.3215   -5.3861
   10.5729   -5.3816
   10.6102   -5.2683
   10.8048   -4.8938
   10.8084   -4.8228
   10.5214   -4.6999
   11.0522   -4.6019
   11.2538   -4.4711
   11.3238   -4.3092
   11.4301   -4.2379
   11.7473   -4.2059
   12.2296   -4.2367
   12.1376   -4.8001
   12.2742   -4.2738
   12.5157   -4.1874
   12.7321   -4.4184
   13.0808   -4.3058
  -18.9543   -7.5843
  -19.0154   -7.4545
  -18.8064   -7.8652
  -19.0569   -8.3262
  -18.8721   -7.9749
  -18.9674   -8.1782
  -18.8765   -8.4878
  -19.5090   -8.6606
  -19.8147   -8.4960
  -19.5383   -8.1912
  -19.8188   -8.3256
  -19.5317   -8.4217
  -20.5194   -8.5525
  -20.5332   -8.7464
  -20.5964   -8.8407
  -20.8737   -8.9426
  -20.1708   -8.2554
  -20.1122   -8.3971
  -19.9485   -8.3365
