    2.3500   -0.2212    1.2350
    2.3771    0.3401    1.2467
    1.9117    0.0008    1.0550
    1.3039    1.2720    1.0266
    1.7142    1.6373    1.2318
    1.2164    1.7811    1.1518
    1.8745    0.5460    1.0746
    1.3916    0.7477    0.9086
    1.4587    0.2059    0.8384
    2.2608    0.9186    1.2567
    2.3771    0.3401    1.2467
    2.7272    0.7690    1.2872
    1.3039    1.2720    1.0266
    1.2164    1.7811    1.1518
    0.8063    1.4742    0.9496
    1.2164    1.7811    1.1518
    1.7142    1.6373    1.2318
    1.5884    2.1860    1.2908
    2.4383    2.4047    1.0316
    2.1210    2.0331    1.2661
    2.6717    1.8750    1.1443
    2.2608    0.9186    1.2567
    2.2298    1.4843    1.2876
    1.7948    1.1032    1.1342
    1.7142    1.6373    1.2318
    1.7948    1.1032    1.1342
    2.2298    1.4843    1.2876
    3.6239    0.7399    0.6924
    3.2028    0.9206    1.0965
    3.4016    0.4068    1.0282
    1.8745    0.5460    1.0746
    1.4587    0.2059    0.8384
    1.9117    0.0008    1.0550
    1.8745    0.5460    1.0746
    1.9117    0.0008    1.0550
    2.3771    0.3401    1.2467
    0.8063    1.4742    0.9496
    1.2164    1.7811    1.1518
    0.7196    1.9847    1.1443
    2.1210    2.0331    1.2661
    1.5884    2.1860    1.2908
    1.7142    1.6373    1.2318
    1.5884    2.1860    1.2908
    2.1210    2.0331    1.2661
    1.8874    2.5683    1.1818
    0.8988    0.9590    0.7771
    1.3916    0.7477    0.9086
    1.3039    1.2720    1.0266
    1.3039    1.2720    1.0266
    0.8063    1.4742    0.9496
    0.8988    0.9590    0.7771
    2.4383    2.4047    1.0316
    2.6717    1.8750    1.1443
    2.8435    2.3377    0.7194
    2.7272    0.7690    1.2872
    2.7268    1.2859    1.2429
    2.2608    0.9186    1.2567
    2.8000   -0.0314    1.2885
    2.9952    0.3732    1.2473
    2.3771    0.3401    1.2467
    3.2028    0.9206    1.0965
    2.7272    0.7690    1.2872
    2.9952    0.3732    1.2473
    2.3500   -0.2212    1.2350
    2.8000   -0.0314    1.2885
    2.3771    0.3401    1.2467
    2.3847   -0.7107    1.2612
    2.3500   -0.2212    1.2350
