    z            rho      t          v
   -4.9944    2.0648    0.9617    0.1437
   -4.8306    3.5690    0.9765    0.2095
   -4.6669    4.1378    0.9727    0.2742
   -4.5031    4.2505    0.9767    0.3398
   -4.3394    3.8823    0.9739    0.4088
   -4.1756    3.6560    0.9762    0.4624
   -4.0119    3.8352    0.9766    0.5175
   -3.8481    3.9956    0.9747    0.5688
   -3.6844    4.0122    0.9727    0.6167
   -3.5206    3.9302    0.9768    0.6625
   -3.3569    3.9175    0.9714    0.6993
   -3.1931    3.9359    0.9723    0.7430
   -3.0294    3.9521    0.9772    0.7880
   -2.8656    3.9520    0.9757    0.8243
   -2.7019    3.9502    0.9757    0.8515
   -2.5381    3.9506    0.9738    0.8808
   -2.3744    3.9458    0.9730    0.9081
   -2.2106    3.9979    0.9726    0.9352
   -2.0469    3.9670    0.9768    0.9491
   -1.8831    3.9881    0.9783    0.9796
   -1.7194    3.9536    0.9784    0.9957
   -1.5556    3.9838    0.9760    1.0137
   -1.3919    3.9774    0.9718    1.0405
   -1.2281    3.9528    0.9709    1.0600
   -1.0644    3.9269    0.9721    1.0719
   -0.9006    3.9189    0.9740    1.0828
   -0.7369    3.9633    0.9747    1.1043
   -0.5731    3.9521    0.9752    1.1148
   -0.4094    3.9337    0.9728    1.1278
   -0.2456    3.9484    0.9728    1.1262
   -0.0819    3.9284    0.9727    1.1274
    0.0819    3.9284    0.9727    1.1274
    0.2456    3.9484    0.9728    1.1262
    0.4094    3.9337    0.9728    1.1278
    0.5731    3.9521    0.9752    1.1148
    0.7369    3.9633    0.9747    1.1043
    0.9006    3.9189    0.9740    1.0828
    1.0644    3.9269    0.9721    1.0719
    1.2281    3.9528    0.9709    1.0600
    1.3919    3.9774    0.9718    1.0405
    1.5556    3.9838    0.9760    1.0137
    1.7194    3.9536    0.9784    0.9957
    1.8831    3.9881    0.9783    0.9796
    2.0469    3.9670    0.9768    0.9491
    2.2106    3.9979    0.9726    0.9352
    2.3744    3.9458    0.9730    0.9081
    2.5381    3.9506    0.9738    0.8808
    2.7019    3.9502    0.9757    0.8515
    2.8656    3.9520    0.9757    0.8243
    3.0294    3.9521    0.9772    0.7880
    3.1931    3.9359    0.9723    0.7430
    3.3569    3.9175    0.9714    0.6993
    3.5206    3.9302    0.9768    0.6625
    3.6844    4.0122    0.9727    0.6167
    3.8481    3.9956    0.9747    0.5688
    4.0119    3.8352    0.9766    0.5175
    4.1756    3.6560    0.9762    0.4624
    4.3394    3.8823    0.9739    0.4088
    4.5031    4.2505    0.9767    0.3398
    4.6669    4.1378    0.9727    0.2742
    4.8306    3.5690    0.9765    0.2095
    4.9944    2.0648    0.9617    0.1437
