   wx        wz
  -28.7849   15.7500
  -29.7570   15.7500
  -28.2988   15.7500
  -27.8128   15.7500
  -27.3267   15.7500
  -26.8407   15.7500
  -26.3546   15.7500
  -25.8685   15.7500
  -25.3825   15.7500
  -24.8965   15.7500
  -24.4104   15.7500
  -23.9243   15.7500
  -23.4383   15.7500
  -22.9522   15.7500
  -22.4662   15.7500
  -21.9801   15.7500
  -21.4941   15.7500
  -21.0080   15.7500
  -20.5220   15.7500
  -20.0359   15.7500
  -19.5499   15.7500
  -19.0638   15.7500
  -18.5778   15.7500
  -18.0917   15.7500
  -17.6057   15.7500
  -17.1196   15.7500
  -16.6335   15.7500
  -16.1475   15.7500
  -15.6615   15.7500
  -15.1754   15.7500
  -14.6893   15.7500
  -14.3322   15.3929
  -13.9750   15.0357
  -13.6179   14.6786
  -13.2608   14.3214
  -12.9036   13.9643
  -12.5465   13.6071
  -12.1893   13.2500
  -11.8322   12.8929
  -11.4750   12.5357
  -11.1179   12.1786
  -10.7608   11.8214
  -10.4036   11.4643
  -10.0465   11.1071
   -9.6893   10.7500
   -9.3322   10.3929
   -8.9750   10.0357
   -8.6179    9.6786
   -8.2608    9.3214
   -7.9036    8.9643
   -7.5465    8.6071
   -7.1893    8.2500
   -6.8322    7.8929
   -6.4751    7.5357
   -6.1179    7.1786
   -5.7608    6.8214
   -5.4036    6.4643
   -5.0465    6.1071
   -4.6893    5.7500
   -4.1683    5.7500
   -3.6473    5.7500
   -3.1262    5.7500
   -2.6052    5.7500
   -2.0842    5.7500
   -1.5631    5.7500
   -1.0421    5.7500
   -0.5210    5.7500
         0    5.7500
    0.5210    5.7500
    1.0421    5.7500
    1.5631    5.7500
    2.0842    5.7500
    2.6052    5.7500
    3.1262    5.7500
    3.6473    5.7500
    4.1683    5.7500
    4.6893    5.7500
    5.0465    6.1071
    5.4036    6.4643
    5.7608    6.8214
    6.1179    7.1786
    6.4751    7.5357
    6.8322    7.8929
    7.1893    8.2500
    7.5465    8.6071
    7.9036    8.9643
    8.2608    9.3214
    8.6179    9.6786
    8.9750   10.0357
    9.3322   10.3929
    9.6893   10.7500
   10.0465   11.1071
   10.4036   11.4643
   10.7608   11.8214
   11.1179   12.1786
   11.4750   12.5357
   11.8322   12.8929
   12.1893   13.2500
   12.5465   13.6071
   12.9036   13.9643
   13.2608   14.3214
   13.6179   14.6786
   13.9750   15.0357
   14.3322   15.3929
   14.6893   15.7500
   15.1913   15.7500
   15.6933   15.7500
   16.1953   15.7500
   16.6973   15.7500
   17.1993   15.7500
   17.7013   15.7500
   18.2033   15.7500
   18.7052   15.7500
   19.2072   15.7500
   19.7092   15.7500
   20.2112   15.7500
   20.7132   15.7500
   21.2152   15.7500
   21.7172   15.7500
   22.2192   15.7500
   22.7212   15.7500
   23.2232   15.7500
   23.7251   15.7500
   24.2271   15.7500
   24.7291   15.7500
   25.2311   15.7500
   25.7331   15.7500
   26.2351   15.7500
   26.7371   15.7500
   27.2391   15.7500
   27.7411   15.7500
   28.2430   15.7500
   28.7450   15.7500
   29.2470   15.7500
   29.7490   15.7500
  -29.2611  -16.2500
