    z            rho      t          v
  -16.2931         0         0         0
  -16.1294         0         0         0
  -15.9656         0         0         0
  -15.8019         0         0         0
  -15.6381         0         0         0
  -15.4744         0         0         0
  -15.3106         0         0         0
  -15.1469    0.4008    1.0141    0.0016
  -14.9831    1.6472    0.9666    0.0057
  -14.8194    3.5055    0.9766    0.0059
  -14.6556    4.3761    0.9771    0.0074
  -14.4919    4.4112    0.9712    0.0016
  -14.3281    3.8045    0.9777    0.0011
  -14.1644    3.4962    0.9831    0.0094
  -14.0006    3.7988    0.9844    0.0100
  -13.8369    3.9959    0.9707    0.0039
  -13.6731    3.8847    0.9692    0.0045
  -13.5094    3.7961    0.9824    0.0037
  -13.3456    3.8179    0.9748    0.0085
  -13.1819    3.8708    0.9758    0.0170
  -13.0181    3.9033    0.9756    0.0178
  -12.8544    3.8447    0.9742    0.0187
  -12.6906    3.8388    0.9758    0.0155
  -12.5269    3.8589    0.9729    0.0319
  -12.3631    3.8522    0.9743    0.0250
  -12.1994    3.8949    0.9693    0.0270
  -12.0356    3.8955    0.9646    0.0302
  -11.8719    3.8031    0.9829    0.0382
  -11.7081    3.8755    0.9716    0.0500
  -11.5444    3.8891    0.9695    0.0530
  -11.3806    3.8909    0.9725    0.0604
  -11.2169    3.8531    0.9747    0.0626
  -11.0531    3.8490    0.9787    0.0684
  -10.8894    3.8913    0.9749    0.0703
  -10.7256    3.8556    0.9716    0.0899
  -10.5619    3.8329    0.9728    0.0838
  -10.3981    3.8638    0.9721    0.0920
  -10.2344    3.8564    0.9685    0.0991
  -10.0706    3.8870    0.9756    0.1146
   -9.9069    3.8834    0.9743    0.1174
   -9.7431    3.8777    0.9725    0.1331
   -9.5794    3.8829    0.9720    0.1293
   -9.4156    3.9060    0.9731    0.1458
   -9.2519    3.9102    0.9767    0.1418
   -9.0881    3.8693    0.9809    0.1461
   -8.9244    3.9203    0.9793    0.1588
   -8.7606    3.9264    0.9738    0.1719
   -8.5969    3.9376    0.9731    0.1751
   -8.4331    3.9311    0.9740    0.1881
   -8.2694    3.8661    0.9687    0.2002
   -8.1056    3.9064    0.9763    0.2110
   -7.9419    3.9177    0.9748    0.2182
   -7.7781    3.9357    0.9758    0.2208
   -7.6144    3.9316    0.9689    0.2420
   -7.4506    3.9124    0.9711    0.2490
   -7.2869    3.9635    0.9771    0.2562
   -7.1231    3.9417    0.9820    0.2589
   -6.9594    3.9833    0.9734    0.2696
   -6.7956    3.9854    0.9780    0.2746
   -6.6319    3.9710    0.9762    0.2903
   -6.4681    3.9179    0.9778    0.2986
   -6.3044    3.9483    0.9762    0.3075
   -6.1406    3.9564    0.9821    0.3245
   -5.9769    3.9998    0.9784    0.3431
   -5.8131    3.9825    0.9727    0.3555
   -5.6494    3.9938    0.9700    0.3559
   -5.4856    4.0235    0.9711    0.3670
   -5.3219    4.0227    0.9782    0.3770
   -5.1581    3.9882    0.9692    0.3799
   -4.9944    3.9685    0.9739    0.3934
   -4.8306    3.9691    0.9738    0.4014
   -4.6669    4.0362    0.9726    0.4104
   -4.5031    3.9876    0.9760    0.4197
   -4.3394    3.9754    0.9748    0.4242
   -4.1756    3.9947    0.9734    0.4389
   -4.0119    4.0054    0.9776    0.4467
   -3.8481    4.0203    0.9728    0.4542
   -3.6844    3.9404    0.9720    0.4756
   -3.5206    3.9731    0.9711    0.4893
   -3.3569    3.9941    0.9786    0.4927
   -3.1931    3.9693    0.9761    0.5000
   -3.0294    3.9686    0.9733    0.5125
   -2.8656    3.9809    0.9723    0.5342
   -2.7019    3.9407    0.9771    0.5344
   -2.5381    3.9821    0.9730    0.5470
   -2.3744    3.9396    0.9762    0.5475
   -2.2106    3.9686    0.9725    0.5591
   -2.0469    3.9416    0.9776    0.5529
   -1.8831    4.0246    0.9673    0.5594
   -1.7194    3.9402    0.9742    0.5577
   -1.5556    3.9173    0.9754    0.5731
   -1.3919    3.9230    0.9766    0.5679
   -1.2281    3.9964    0.9747    0.5725
   -1.0644    3.9837    0.9743    0.5888
   -0.9006    3.9638    0.9729    0.5831
   -0.7369    3.9794    0.9747    0.5843
   -0.5731    3.9349    0.9709    0.5896
   -0.4094    3.9599    0.9712    0.5765
   -0.2456    3.9999    0.9703    0.5960
   -0.0819    3.9603    0.9755    0.5997
    0.0819    3.9603    0.9755    0.5997
    0.2456    3.9999    0.9703    0.5960
    0.4094    3.9599    0.9712    0.5765
    0.5731    3.9349    0.9709    0.5896
    0.7369    3.9794    0.9747    0.5843
    0.9006    3.9638    0.9729    0.5831
    1.0644    3.9837    0.9743    0.5888
    1.2281    3.9964    0.9747    0.5725
    1.3919    3.9230    0.9766    0.5679
    1.5556    3.9173    0.9754    0.5731
    1.7194    3.9402    0.9742    0.5577
    1.8831    4.0246    0.9673    0.5594
    2.0469    3.9416    0.9776    0.5529
    2.2106    3.9686    0.9725    0.5591
    2.3744    3.9396    0.9762    0.5475
    2.5381    3.9821    0.9730    0.5470
    2.7019    3.9407    0.9771    0.5344
    2.8656    3.9809    0.9723    0.5342
    3.0294    3.9686    0.9733    0.5125
    3.1931    3.9693    0.9761    0.5000
    3.3569    3.9941    0.9786    0.4927
    3.5206    3.9731    0.9711    0.4893
    3.6844    3.9404    0.9720    0.4756
    3.8481    4.0203    0.9728    0.4542
    4.0119    4.0054    0.9776    0.4467
    4.1756    3.9947    0.9734    0.4389
    4.3394    3.9754    0.9748    0.4242
    4.5031    3.9876    0.9760    0.4197
    4.6669    4.0362    0.9726    0.4104
    4.8306    3.9691    0.9738    0.4014
    4.9944    3.9685    0.9739    0.3934
    5.1581    3.9882    0.9692    0.3799
    5.3219    4.0227    0.9782    0.3770
    5.4856    4.0235    0.9711    0.3670
    5.6494    3.9938    0.9700    0.3559
    5.8131    3.9825    0.9727    0.3555
    5.9769    3.9998    0.9784    0.3431
    6.1406    3.9564    0.9821    0.3245
    6.3044    3.9483    0.9762    0.3075
    6.4681    3.9179    0.9778    0.2986
    6.6319    3.9710    0.9762    0.2903
    6.7956    3.9854    0.9780    0.2746
    6.9594    3.9833    0.9734    0.2696
    7.1231    3.9417    0.9820    0.2589
    7.2869    3.9635    0.9771    0.2562
    7.4506    3.9124    0.9711    0.2490
    7.6144    3.9316    0.9689    0.2420
    7.7781    3.9357    0.9758    0.2208
    7.9419    3.9177    0.9748    0.2182
    8.1056    3.9064    0.9763    0.2110
    8.2694    3.8661    0.9687    0.2002
    8.4331    3.9311    0.9740    0.1881
    8.5969    3.9376    0.9731    0.1751
    8.7606    3.9264    0.9738    0.1719
    8.9244    3.9203    0.9793    0.1588
    9.0881    3.8693    0.9809    0.1461
    9.2519    3.9102    0.9767    0.1418
    9.4156    3.9060    0.9731    0.1458
    9.5794    3.8829    0.9720    0.1293
    9.7431    3.8777    0.9725    0.1331
    9.9069    3.8834    0.9743    0.1174
   10.0706    3.8870    0.9756    0.1146
   10.2344    3.8564    0.9685    0.0991
   10.3981    3.8638    0.9721    0.0920
   10.5619    3.8329    0.9728    0.0838
   10.7256    3.8556    0.9716    0.0899
   10.8894    3.8913    0.9749    0.0703
   11.0531    3.8490    0.9787    0.0684
   11.2169    3.8531    0.9747    0.0626
   11.3806    3.8909    0.9725    0.0604
   11.5444    3.8891    0.9695    0.0530
   11.7081    3.8755    0.9716    0.0500
   11.8719    3.8031    0.9829    0.0382
   12.0356    3.8955    0.9646    0.0302
   12.1994    3.8949    0.9693    0.0270
   12.3631    3.8522    0.9743    0.0250
   12.5269    3.8589    0.9729    0.0319
   12.6906    3.8388    0.9758    0.0155
   12.8544    3.8447    0.9742    0.0187
   13.0181    3.9033    0.9756    0.0178
   13.1819    3.8708    0.9758    0.0170
   13.3456    3.8179    0.9748    0.0085
   13.5094    3.7961    0.9824    0.0037
   13.6731    3.8847    0.9692    0.0045
   13.8369    3.9959    0.9707    0.0039
   14.0006    3.7988    0.9844    0.0100
   14.1644    3.4962    0.9831    0.0094
   14.3281    3.8045    0.9777    0.0011
   14.4919    4.4112    0.9712    0.0016
   14.6556    4.3761    0.9771    0.0074
   14.8194    3.5055    0.9766    0.0059
   14.9831    1.6472    0.9666    0.0057
   15.1469    0.4008    1.0141    0.0016
   15.3106         0         0         0
   15.4744         0         0         0
   15.6381         0         0         0
   15.8019         0         0         0
   15.9656         0         0         0
   16.1294         0         0         0
   16.2931         0         0         0
