    z            rho      t          v
  -16.2931         0         0         0
  -16.1294         0         0         0
  -15.9656         0         0         0
  -15.8019         0         0         0
  -15.6381         0         0         0
  -15.4744         0         0         0
  -15.3106    0.0001    0.6017   -0.0317
  -15.1469    0.4416    1.0124    0.0020
  -14.9831    1.7363    0.9574    0.0092
  -14.8194    3.5502    0.9663    0.0218
  -14.6556    4.4057    0.9617    0.0284
  -14.4919    4.3620    0.9680    0.0270
  -14.3281    3.8812    0.9743    0.0346
  -14.1644    3.6569    0.9700    0.0411
  -14.0006    3.8313    0.9701    0.0454
  -13.8369    4.0058    0.9758    0.0498
  -13.6731    3.9561    0.9748    0.0562
  -13.5094    3.8752    0.9751    0.0600
  -13.3456    3.8788    0.9796    0.0612
  -13.1819    3.8976    0.9761    0.0692
  -13.0181    3.9284    0.9731    0.0781
  -12.8544    3.9373    0.9709    0.0855
  -12.6906    3.8949    0.9729    0.0946
  -12.5269    3.9104    0.9788    0.1031
  -12.3631    3.9330    0.9739    0.1161
  -12.1994    3.9125    0.9709    0.1226
  -12.0356    3.9133    0.9694    0.1417
  -11.8719    3.9567    0.9685    0.1461
  -11.7081    3.9340    0.9744    0.1413
  -11.5444    3.9311    0.9728    0.1485
  -11.3806    3.8704    0.9820    0.1634
  -11.2169    3.9418    0.9751    0.1604
  -11.0531    3.9655    0.9720    0.1728
  -10.8894    3.9665    0.9718    0.1742
  -10.7256    3.9446    0.9711    0.1913
  -10.5619    3.9736    0.9778    0.1892
  -10.3981    3.9844    0.9769    0.1980
  -10.2344    4.0040    0.9711    0.2097
  -10.0706    3.9645    0.9729    0.2143
   -9.9069    3.9236    0.9789    0.2162
   -9.7431    4.0053    0.9705    0.2182
   -9.5794    4.0016    0.9728    0.2154
   -9.4156    3.9568    0.9741    0.2277
   -9.2519    4.0058    0.9682    0.2339
   -9.0881    4.0203    0.9717    0.2466
   -8.9244    4.0022    0.9726    0.2318
   -8.7606    4.0230    0.9730    0.2483
   -8.5969    4.0417    0.9707    0.2490
   -8.4331    4.0211    0.9734    0.2607
   -8.2694    4.0405    0.9708    0.2677
   -8.1056    4.0067    0.9763    0.2717
   -7.9419    4.0114    0.9760    0.2870
   -7.7781    4.0560    0.9727    0.2956
   -7.6144    4.0361    0.9758    0.2943
   -7.4506    4.0980    0.9742    0.2981
   -7.2869    4.0495    0.9731    0.2997
   -7.1231    4.0183    0.9718    0.2915
   -6.9594    4.0194    0.9794    0.2970
   -6.7956    4.1095    0.9698    0.2976
   -6.6319    4.0756    0.9676    0.3103
   -6.4681    3.9806    0.9708    0.3049
   -6.3044    4.0108    0.9726    0.3169
   -6.1406    4.0482    0.9756    0.3216
   -5.9769    4.0080    0.9732    0.3304
   -5.8131    4.0141    0.9715    0.3305
   -5.6494    4.0246    0.9779    0.3431
   -5.4856    3.9773    0.9759    0.3513
   -5.3219    4.0153    0.9779    0.3489
   -5.1581    4.0171    0.9711    0.3545
   -4.9944    4.0449    0.9703    0.3545
   -4.8306    4.0233    0.9763    0.3768
   -4.6669    4.0186    0.9769    0.3680
   -4.5031    4.0203    0.9728    0.3791
   -4.3394    4.0059    0.9745    0.3714
   -4.1756    4.0688    0.9726    0.3718
   -4.0119    4.0123    0.9760    0.3786
   -3.8481    3.9978    0.9743    0.3827
   -3.6844    4.0429    0.9782    0.3864
   -3.5206    4.0638    0.9731    0.3842
   -3.3569    4.0239    0.9725    0.3956
   -3.1931    3.9916    0.9775    0.3892
   -3.0294    3.9769    0.9797    0.3867
   -2.8656    4.0116    0.9777    0.4014
   -2.7019    4.0165    0.9729    0.4017
   -2.5381    3.9850    0.9716    0.4090
   -2.3744    3.9612    0.9786    0.4056
   -2.2106    4.0245    0.9730    0.4049
   -2.0469    4.0199    0.9783    0.3995
   -1.8831    3.9808    0.9750    0.4069
   -1.7194    4.0102    0.9758    0.4026
   -1.5556    4.0149    0.9769    0.4053
   -1.3919    4.0169    0.9771    0.4145
   -1.2281    4.0418    0.9689    0.4080
   -1.0644    4.0344    0.9729    0.4115
   -0.9006    4.0090    0.9759    0.4176
   -0.7369    4.0050    0.9750    0.4174
   -0.5731    3.9822    0.9715    0.4249
   -0.4094    4.0685    0.9700    0.4138
   -0.2456    4.0288    0.9709    0.4219
   -0.0819    3.9885    0.9789    0.4154
    0.0819    3.9885    0.9789    0.4154
    0.2456    4.0288    0.9709    0.4219
    0.4094    4.0685    0.9700    0.4138
    0.5731    3.9822    0.9715    0.4249
    0.7369    4.0050    0.9750    0.4174
    0.9006    4.0090    0.9759    0.4176
    1.0644    4.0344    0.9729    0.4115
    1.2281    4.0418    0.9689    0.4080
    1.3919    4.0169    0.9771    0.4145
    1.5556    4.0149    0.9769    0.4053
    1.7194    4.0102    0.9758    0.4026
    1.8831    3.9808    0.9750    0.4069
    2.0469    4.0199    0.9783    0.3995
    2.2106    4.0245    0.9730    0.4049
    2.3744    3.9612    0.9786    0.4056
    2.5381    3.9850    0.9716    0.4090
    2.7019    4.0165    0.9729    0.4017
    2.8656    4.0116    0.9777    0.4014
    3.0294    3.9769    0.9797    0.3867
    3.1931    3.9916    0.9775    0.3892
    3.3569    4.0239    0.9725    0.3956
    3.5206    4.0638    0.9731    0.3842
    3.6844    4.0429    0.9782    0.3864
    3.8481    3.9978    0.9743    0.3827
    4.0119    4.0123    0.9760    0.3786
    4.1756    4.0688    0.9726    0.3718
    4.3394    4.0059    0.9745    0.3714
    4.5031    4.0203    0.9728    0.3791
    4.6669    4.0186    0.9769    0.3680
    4.8306    4.0233    0.9763    0.3768
    4.9944    4.0449    0.9703    0.3545
    5.1581    4.0171    0.9711    0.3545
    5.3219    4.0153    0.9779    0.3489
    5.4856    3.9773    0.9759    0.3513
    5.6494    4.0246    0.9779    0.3431
    5.8131    4.0141    0.9715    0.3305
    5.9769    4.0080    0.9732    0.3304
    6.1406    4.0482    0.9756    0.3216
    6.3044    4.0108    0.9726    0.3169
    6.4681    3.9806    0.9708    0.3049
    6.6319    4.0756    0.9676    0.3103
    6.7956    4.1095    0.9698    0.2976
    6.9594    4.0194    0.9794    0.2970
    7.1231    4.0183    0.9718    0.2915
    7.2869    4.0495    0.9731    0.2997
    7.4506    4.0980    0.9742    0.2981
    7.6144    4.0361    0.9758    0.2943
    7.7781    4.0560    0.9727    0.2956
    7.9419    4.0114    0.9760    0.2870
    8.1056    4.0067    0.9763    0.2717
    8.2694    4.0405    0.9708    0.2677
    8.4331    4.0211    0.9734    0.2607
    8.5969    4.0417    0.9707    0.2490
    8.7606    4.0230    0.9730    0.2483
    8.9244    4.0022    0.9726    0.2318
    9.0881    4.0203    0.9717    0.2466
    9.2519    4.0058    0.9682    0.2339
    9.4156    3.9568    0.9741    0.2277
    9.5794    4.0016    0.9728    0.2154
    9.7431    4.0053    0.9705    0.2182
    9.9069    3.9236    0.9789    0.2162
   10.0706    3.9645    0.9729    0.2143
   10.2344    4.0040    0.9711    0.2097
   10.3981    3.9844    0.9769    0.1980
   10.5619    3.9736    0.9778    0.1892
   10.7256    3.9446    0.9711    0.1913
   10.8894    3.9665    0.9718    0.1742
   11.0531    3.9655    0.9720    0.1728
   11.2169    3.9418    0.9751    0.1604
   11.3806    3.8704    0.9820    0.1634
   11.5444    3.9311    0.9728    0.1485
   11.7081    3.9340    0.9744    0.1413
   11.8719    3.9567    0.9685    0.1461
   12.0356    3.9133    0.9694    0.1417
   12.1994    3.9125    0.9709    0.1226
   12.3631    3.9330    0.9739    0.1161
   12.5269    3.9104    0.9788    0.1031
   12.6906    3.8949    0.9729    0.0946
   12.8544    3.9373    0.9709    0.0855
   13.0181    3.9284    0.9731    0.0781
   13.1819    3.8976    0.9761    0.0692
   13.3456    3.8788    0.9796    0.0612
   13.5094    3.8752    0.9751    0.0600
   13.6731    3.9561    0.9748    0.0562
   13.8369    4.0058    0.9758    0.0498
   14.0006    3.8313    0.9701    0.0454
   14.1644    3.6569    0.9700    0.0411
   14.3281    3.8812    0.9743    0.0346
   14.4919    4.3620    0.9680    0.0270
   14.6556    4.4057    0.9617    0.0284
   14.8194    3.5502    0.9663    0.0218
   14.9831    1.7363    0.9574    0.0092
   15.1469    0.4416    1.0124    0.0020
   15.3106    0.0001    0.6017   -0.0317
   15.4744         0         0         0
   15.6381         0         0         0
   15.8019         0         0         0
   15.9656         0         0         0
   16.1294         0         0         0
   16.2931         0         0         0
