    z            rho      t          v
  -16.2931         0         0         0
  -16.1294         0         0         0
  -15.9656         0         0         0
  -15.8019         0         0         0
  -15.6381         0         0         0
  -15.4744         0         0         0
  -15.3106   -0.5688    0.9500   -0.5688
  -15.1469    0.0288    1.0247    0.0288
  -14.9831    0.0190    0.9758    0.0190
  -14.8194    0.0272    0.9719    0.0272
  -14.6556    0.0396    0.9773    0.0396
  -14.4919    0.0430    0.9750    0.0430
  -14.3281    0.0469    0.9734    0.0469
  -14.1644    0.0635    0.9824    0.0635
  -14.0006    0.0555    0.9738    0.0555
  -13.8369    0.0711    0.9761    0.0711
  -13.6731    0.0844    0.9729    0.0844
  -13.5094    0.0855    0.9818    0.0855
  -13.3456    0.1028    0.9767    0.1028
  -13.1819    0.1082    0.9758    0.1082
  -13.0181    0.1079    0.9738    0.1079
  -12.8544    0.1197    0.9761    0.1197
  -12.6906    0.1276    0.9739    0.1276
  -12.5269    0.1341    0.9748    0.1341
  -12.3631    0.1365    0.9713    0.1365
  -12.1994    0.1396    0.9765    0.1396
  -12.0356    0.1398    0.9762    0.1398
  -11.8719    0.1454    0.9768    0.1454
  -11.7081    0.1560    0.9774    0.1560
  -11.5444    0.1611    0.9719    0.1611
  -11.3806    0.1857    0.9751    0.1857
  -11.2169    0.1944    0.9690    0.1944
  -11.0531    0.1918    0.9743    0.1918
  -10.8894    0.2069    0.9774    0.2069
  -10.7256    0.2073    0.9736    0.2073
  -10.5619    0.2108    0.9737    0.2108
  -10.3981    0.2146    0.9730    0.2146
  -10.2344    0.2177    0.9796    0.2177
  -10.0706    0.2327    0.9760    0.2327
   -9.9069    0.2358    0.9734    0.2358
   -9.7431    0.2444    0.9782    0.2444
   -9.5794    0.2438    0.9738    0.2438
   -9.4156    0.2480    0.9770    0.2480
   -9.2519    0.2566    0.9729    0.2566
   -9.0881    0.2620    0.9677    0.2620
   -8.9244    0.2658    0.9754    0.2658
   -8.7606    0.2641    0.9667    0.2641
   -8.5969    0.2569    0.9680    0.2569
   -8.4331    0.2596    0.9669    0.2596
   -8.2694    0.2619    0.9738    0.2619
   -8.1056    0.2688    0.9808    0.2688
   -7.9419    0.2646    0.9763    0.2646
   -7.7781    0.2798    0.9740    0.2798
   -7.6144    0.2881    0.9742    0.2881
   -7.4506    0.2840    0.9745    0.2840
   -7.2869    0.2875    0.9720    0.2875
   -7.1231    0.3051    0.9718    0.3051
   -6.9594    0.2977    0.9800    0.2977
   -6.7956    0.2986    0.9680    0.2986
   -6.6319    0.3044    0.9737    0.3044
   -6.4681    0.3017    0.9697    0.3017
   -6.3044    0.3078    0.9775    0.3078
   -6.1406    0.3025    0.9735    0.3025
   -5.9769    0.3195    0.9763    0.3195
   -5.8131    0.3187    0.9697    0.3187
   -5.6494    0.3287    0.9759    0.3287
   -5.4856    0.3245    0.9738    0.3245
   -5.3219    0.3290    0.9734    0.3290
   -5.1581    0.3224    0.9738    0.3224
   -4.9944    0.3268    0.9636    0.3268
   -4.8306    0.3302    0.9722    0.3302
   -4.6669    0.3361    0.9762    0.3361
   -4.5031    0.3472    0.9708    0.3472
   -4.3394    0.3379    0.9700    0.3379
   -4.1756    0.3459    0.9677    0.3459
   -4.0119    0.3548    0.9687    0.3548
   -3.8481    0.3473    0.9696    0.3473
   -3.6844    0.3568    0.9758    0.3568
   -3.5206    0.3557    0.9738    0.3557
   -3.3569    0.3697    0.9712    0.3697
   -3.1931    0.3652    0.9713    0.3652
   -3.0294    0.3736    0.9653    0.3736
   -2.8656    0.3699    0.9718    0.3699
   -2.7019    0.3773    0.9748    0.3773
   -2.5381    0.3744    0.9704    0.3744
   -2.3744    0.3809    0.9719    0.3809
   -2.2106    0.3833    0.9684    0.3833
   -2.0469    0.3892    0.9682    0.3892
   -1.8831    0.3840    0.9721    0.3840
   -1.7194    0.3801    0.9708    0.3801
   -1.5556    0.3715    0.9733    0.3715
   -1.3919    0.3844    0.9760    0.3844
   -1.2281    0.3869    0.9783    0.3869
   -1.0644    0.3908    0.9724    0.3908
   -0.9006    0.3881    0.9807    0.3881
   -0.7369    0.4037    0.9791    0.4037
   -0.5731    0.3921    0.9729    0.3921
   -0.4094    0.3915    0.9752    0.3915
   -0.2456    0.3925    0.9758    0.3925
   -0.0819    0.3855    0.9763    0.3855
    0.0819    0.3855    0.9763    0.3855
    0.2456    0.3925    0.9758    0.3925
    0.4094    0.3915    0.9752    0.3915
    0.5731    0.3921    0.9729    0.3921
    0.7369    0.4037    0.9791    0.4037
    0.9006    0.3881    0.9807    0.3881
    1.0644    0.3908    0.9724    0.3908
    1.2281    0.3869    0.9783    0.3869
    1.3919    0.3844    0.9760    0.3844
    1.5556    0.3715    0.9733    0.3715
    1.7194    0.3801    0.9708    0.3801
    1.8831    0.3840    0.9721    0.3840
    2.0469    0.3892    0.9682    0.3892
    2.2106    0.3833    0.9684    0.3833
    2.3744    0.3809    0.9719    0.3809
    2.5381    0.3744    0.9704    0.3744
    2.7019    0.3773    0.9748    0.3773
    2.8656    0.3699    0.9718    0.3699
    3.0294    0.3736    0.9653    0.3736
    3.1931    0.3652    0.9713    0.3652
    3.3569    0.3697    0.9712    0.3697
    3.5206    0.3557    0.9738    0.3557
    3.6844    0.3568    0.9758    0.3568
    3.8481    0.3473    0.9696    0.3473
    4.0119    0.3548    0.9687    0.3548
    4.1756    0.3459    0.9677    0.3459
    4.3394    0.3379    0.9700    0.3379
    4.5031    0.3472    0.9708    0.3472
    4.6669    0.3361    0.9762    0.3361
    4.8306    0.3302    0.9722    0.3302
    4.9944    0.3268    0.9636    0.3268
    5.1581    0.3224    0.9738    0.3224
    5.3219    0.3290    0.9734    0.3290
    5.4856    0.3245    0.9738    0.3245
    5.6494    0.3287    0.9759    0.3287
    5.8131    0.3187    0.9697    0.3187
    5.9769    0.3195    0.9763    0.3195
    6.1406    0.3025    0.9735    0.3025
    6.3044    0.3078    0.9775    0.3078
    6.4681    0.3017    0.9697    0.3017
    6.6319    0.3044    0.9737    0.3044
    6.7956    0.2986    0.9680    0.2986
    6.9594    0.2977    0.9800    0.2977
    7.1231    0.3051    0.9718    0.3051
    7.2869    0.2875    0.9720    0.2875
    7.4506    0.2840    0.9745    0.2840
    7.6144    0.2881    0.9742    0.2881
    7.7781    0.2798    0.9740    0.2798
    7.9419    0.2646    0.9763    0.2646
    8.1056    0.2688    0.9808    0.2688
    8.2694    0.2619    0.9738    0.2619
    8.4331    0.2596    0.9669    0.2596
    8.5969    0.2569    0.9680    0.2569
    8.7606    0.2641    0.9667    0.2641
    8.9244    0.2658    0.9754    0.2658
    9.0881    0.2620    0.9677    0.2620
    9.2519    0.2566    0.9729    0.2566
    9.4156    0.2480    0.9770    0.2480
    9.5794    0.2438    0.9738    0.2438
    9.7431    0.2444    0.9782    0.2444
    9.9069    0.2358    0.9734    0.2358
   10.0706    0.2327    0.9760    0.2327
   10.2344    0.2177    0.9796    0.2177
   10.3981    0.2146    0.9730    0.2146
   10.5619    0.2108    0.9737    0.2108
   10.7256    0.2073    0.9736    0.2073
   10.8894    0.2069    0.9774    0.2069
   11.0531    0.1918    0.9743    0.1918
   11.2169    0.1944    0.9690    0.1944
   11.3806    0.1857    0.9751    0.1857
   11.5444    0.1611    0.9719    0.1611
   11.7081    0.1560    0.9774    0.1560
   11.8719    0.1454    0.9768    0.1454
   12.0356    0.1398    0.9762    0.1398
   12.1994    0.1396    0.9765    0.1396
   12.3631    0.1365    0.9713    0.1365
   12.5269    0.1341    0.9748    0.1341
   12.6906    0.1276    0.9739    0.1276
   12.8544    0.1197    0.9761    0.1197
   13.0181    0.1079    0.9738    0.1079
   13.1819    0.1082    0.9758    0.1082
   13.3456    0.1028    0.9767    0.1028
   13.5094    0.0855    0.9818    0.0855
   13.6731    0.0844    0.9729    0.0844
   13.8369    0.0711    0.9761    0.0711
   14.0006    0.0555    0.9738    0.0555
   14.1644    0.0635    0.9824    0.0635
   14.3281    0.0469    0.9734    0.0469
   14.4919    0.0430    0.9750    0.0430
   14.6556    0.0396    0.9773    0.0396
   14.8194    0.0272    0.9719    0.0272
   14.9831    0.0190    0.9758    0.0190
   15.1469    0.0288    1.0247    0.0288
   15.3106   -0.5688    0.9500   -0.5688
   15.4744         0         0         0
   15.6381         0         0         0
   15.8019         0         0         0
   15.9656         0         0         0
   16.1294         0         0         0
   16.2931         0         0         0
